net,length_um
_0308_,301.95µm
_0743_,288.36µm
net45,274.18µm
_0313_,240.96µm
net47,238.5µm
_0291_,235.94µm
_0738_,228.46µm
net49,227.97µm
_0281_,222.62µm
_0394_,221.98µm
net51,218.82µm
clknet_2_2__leaf_clk_10mhz,211.52µm
_0300_,206.48µm
_0311_,204.52µm
_0310_,202.52µm
net37,201.88µm
clknet_2_1__leaf_clk_10mhz,200.08µm
_0733_,199.87µm
clknet_2_0__leaf_clk_10mhz,198.36µm
_0736_,197.5µm
_0712_,196.685µm
_0307_,195.85µm
_0279_,194.26µm
_0734_,189.84µm
clknet_2_3__leaf_clk_10mhz,180.62µm
_0302_,180.26µm
net42,177.1µm
_0303_,176.26µm
_0312_,171.85µm
clk_10mhz,170.87µm
net65,168.04µm
_0283_,167.7µm
_0309_,167.425µm
_0742_,166.93µm
net41,165.9µm
_0305_,165µm
_0282_,164.42µm
net26,163.18µm
_0285_,155.78µm
_0297_,155.565µm
_0306_,155.25µm
clknet_0_clk_10mhz,149.78µm
net44,146.74µm
_0298_,146.255µm
net25,143.18µm
_0741_,140.67µm
_0284_,138.64µm
net22,137.85µm
_0322_,135.53µm
_0474_,134.74µm
_0342_,131.16µm
net53,130.64µm
clknet_leaf_8_clk_10mhz,129.2µm
clknet_leaf_2_clk_10mhz,128.81µm
_0739_,126.43µm
net48,121.92µm
net39,120.22µm
net50,119.92µm
net14,115.5µm
net13,115.24µm
clknet_leaf_13_clk_10mhz,114.84µm
clknet_leaf_14_clk_10mhz,114.72µm
net57,114.03µm
net36,113.42µm
net64,111.87µm
net58,110.99µm
clknet_leaf_26_clk_10mhz,110.93µm
net46,110.26µm
net40,109.74µm
net61,109.05µm
net38,106.94µm
clknet_leaf_7_clk_10mhz,106.74µm
net43,104.66µm
net52,100.03µm
net9,99.92µm
net19,99.74µm
net12,99.7µm
net18,98.13µm
clknet_leaf_5_clk_10mhz,98.06µm
net54,96.72µm
net20,94.02µm
_0021_,92.58µm
