Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_63_365,VGND,li1,176.1800,184.9600,0.000000
FILLER_63_361,VGND,li1,172.2700,184.9600,0.000000
FILLER_63_349,VGND,li1,168.8200,184.9600,0.000000
FILLER_63_337,VGND,li1,163.3000,184.9600,0.000000
FILLER_63_333,VGND,li1,159.3900,184.9600,0.000000
FILLER_63_321,VGND,li1,155.9400,184.9600,0.000000
FILLER_63_309,VGND,li1,150.4200,184.9600,0.000000
FILLER_63_305,VGND,li1,146.5100,184.9600,0.000000
FILLER_63_293,VGND,li1,143.0600,184.9600,0.000000
FILLER_63_281,VGND,li1,137.5400,184.9600,0.000000
FILLER_63_277,VGND,li1,133.6300,184.9600,0.000000
FILLER_63_265,VGND,li1,130.1800,184.9600,0.000000
FILLER_63_253,VGND,li1,124.6600,184.9600,0.000000
FILLER_63_251,VGND,li1,121.2100,184.9600,0.000000
FILLER_63_245,VGND,li1,119.6000,184.9600,0.000000
FILLER_63_233,VGND,li1,115.4600,184.9600,0.000000
FILLER_63_222,VGND,li1,108.1000,184.9600,0.000000
FILLER_63_214,VGND,li1,105.8000,184.9600,0.000000
FILLER_63_205,VGND,li1,100.0500,184.9600,0.000000
FILLER_63_197,VGND,li1,97.9800,184.9600,0.000000
FILLER_63_194,VGND,li1,95.2200,184.9600,0.000000
FILLER_63_169,VGND,li1,85.1000,184.9600,0.000000
FILLER_63_167,VGND,li1,82.5700,184.9600,0.000000
FILLER_63_161,VGND,li1,80.9600,184.9600,0.000000
FILLER_63_149,VGND,li1,76.8200,184.9600,0.000000
FILLER_63_134,VGND,li1,68.5400,184.9600,0.000000
FILLER_63_121,VGND,li1,61.4100,184.9600,0.000000
FILLER_63_113,VGND,li1,59.3400,184.9600,0.000000
FILLER_63_111,VGND,li1,56.8100,184.9600,0.000000
FILLER_63_91,VGND,li1,50.1400,184.9600,0.000000
FILLER_63_85,VGND,li1,45.0800,184.9600,0.000000
FILLER_63_81,VGND,li1,43.4700,184.9600,0.000000
FILLER_63_69,VGND,li1,40.0200,184.9600,0.000000
FILLER_63_57,VGND,li1,34.5000,184.9600,0.000000
FILLER_63_53,VGND,li1,30.5900,184.9600,0.000000
FILLER_63_41,VGND,li1,27.1400,184.9600,0.000000
FILLER_63_29,VGND,li1,21.6200,184.9600,0.000000
FILLER_63_27,VGND,li1,18.1700,184.9600,0.000000
FILLER_63_15,VGND,li1,15.1800,184.9600,0.000000
FILLER_63_3,VGND,li1,9.6600,184.9600,0.000000
FILLER_62_365,VGND,li1,176.1800,179.5200,0.000004
