Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_63_365,VPWR,li1,176.1800,182.2400,1.799999
FILLER_63_361,VPWR,li1,172.2700,182.2400,1.799998
FILLER_63_349,VPWR,li1,168.8200,182.2400,1.799998
FILLER_63_337,VPWR,li1,163.3000,182.2400,1.799997
FILLER_63_333,VPWR,li1,159.3900,182.2400,1.799997
FILLER_63_321,VPWR,li1,155.9400,182.2400,1.799997
FILLER_63_309,VPWR,li1,150.4200,182.2400,1.799996
FILLER_63_305,VPWR,li1,146.5100,182.2400,1.799996
FILLER_63_293,VPWR,li1,143.0600,182.2400,1.799995
FILLER_63_281,VPWR,li1,137.5400,182.2400,1.799995
FILLER_63_277,VPWR,li1,133.6300,182.2400,1.799994
FILLER_63_265,VPWR,li1,130.1800,182.2400,1.799994
FILLER_63_253,VPWR,li1,124.6600,182.2400,1.799993
FILLER_63_251,VPWR,li1,121.2100,182.2400,1.799993
FILLER_63_245,VPWR,li1,119.6000,182.2400,1.799993
FILLER_63_233,VPWR,li1,115.4600,182.2400,1.799992
FILLER_63_222,VPWR,li1,108.1000,182.2400,1.799991
FILLER_63_214,VPWR,li1,105.8000,182.2400,1.799991
FILLER_63_205,VPWR,li1,100.0500,182.2400,1.799991
FILLER_63_197,VPWR,li1,97.9800,182.2400,1.799991
FILLER_63_194,VPWR,li1,95.2200,182.2400,1.799991
FILLER_63_169,VPWR,li1,85.1000,182.2400,1.799991
FILLER_63_167,VPWR,li1,82.5700,182.2400,1.799992
FILLER_63_161,VPWR,li1,80.9600,182.2400,1.799992
FILLER_63_149,VPWR,li1,76.8200,182.2400,1.799992
FILLER_63_134,VPWR,li1,68.5400,182.2400,1.799992
FILLER_63_121,VPWR,li1,61.4100,182.2400,1.799993
FILLER_63_113,VPWR,li1,59.3400,182.2400,1.799993
FILLER_63_111,VPWR,li1,56.8100,182.2400,1.799993
FILLER_63_91,VPWR,li1,50.1400,182.2400,1.799994
FILLER_63_85,VPWR,li1,45.0800,182.2400,1.799995
FILLER_63_81,VPWR,li1,43.4700,182.2400,1.799995
FILLER_63_69,VPWR,li1,40.0200,182.2400,1.799995
FILLER_63_57,VPWR,li1,34.5000,182.2400,1.799996
FILLER_63_53,VPWR,li1,30.5900,182.2400,1.799997
FILLER_63_41,VPWR,li1,27.1400,182.2400,1.799997
FILLER_63_29,VPWR,li1,21.6200,182.2400,1.799998
FILLER_63_27,VPWR,li1,18.1700,182.2400,1.799998
FILLER_63_15,VPWR,li1,15.1800,182.2400,1.799998
FILLER_63_3,VPWR,li1,9.6600,182.2400,1.799998
FILLER_62_365,VPWR,li1,176.1800,182.2400,1.799999
FILLER_62_363,VPWR,li1,172.7300,182.2400,1.799998
FILLER_62_357,VPWR,li1,171.1200,182.2400,1.799998
FILLER_62_345,VPWR,li1,166.9800,182.2400,1.799998
FILLER_62_333,VPWR,li1,161.4600,182.2400,1.799997
FILLER_62_321,VPWR,li1,155.9400,182.2400,1.799997
FILLER_62_309,VPWR,li1,150.4200,182.2400,1.799996
FILLER_62_306,VPWR,li1,146.7400,182.2400,1.799996
FILLER_62_294,VPWR,li1,143.5200,182.2400,1.799995
FILLER_62_282,VPWR,li1,138.0000,182.2400,1.799995
FILLER_62_270,VPWR,li1,132.4800,182.2400,1.799994
FILLER_62_248,VPWR,li1,120.5200,182.2400,1.799993
FILLER_62_197,VPWR,li1,96.6000,182.2400,1.799991
FILLER_62_195,VPWR,li1,95.4500,182.2400,1.799991
FILLER_62_187,VPWR,li1,93.3800,182.2400,1.799991
