Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,1805
design__instance__area,16605.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,13
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0001985764829441905
power__switching__total,0.000059631613112287596
power__leakage__total,2.1286393092623257E-8
power__total,0.0002582293818704784
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27090772059105167
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2689046006422196
timing__hold__ws__corner:nom_tt_025C_1v80,0.3098176247688099
timing__setup__ws__corner:nom_tt_025C_1v80,77.28218994606425
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.309818
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,96.884750
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,13
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2785231846215455
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2776851882588583
timing__hold__ws__corner:nom_ss_100C_1v60,0.8684267994967136
timing__setup__ws__corner:nom_ss_100C_1v60,74.74331409797874
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.868427
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,93.847443
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,13
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2664237794679567
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2650247318839075
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10766821072788554
timing__setup__ws__corner:nom_ff_n40C_1v95,78.17462454199135
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.107668
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,97.991478
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,13
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2653379535635884
clock__skew__worst_setup,0.2641003601674616
timing__hold__ws,0.10570233876258313
timing__setup__ws,74.68426799496714
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.105702
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,93.777397
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 186.195 196.915
design__core__bbox,5.52 10.88 180.32 184.96
design__io,13
design__die__area,36664.6
design__core__area,30429.2
design__instance__count__stdcell,1805
design__instance__area__stdcell,16605.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.545724
design__instance__utilization__stdcell,0.545724
design__instance__count__class:buffer,3
design__instance__count__class:inverter,33
design__instance__count__class:sequential_cell,282
design__instance__count__class:multi_input_combinational_cell,718
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1929
design__instance__count__class:tap_cell,429
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,11
design__io__hpwl,909542
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,25239.7
design__violations,0
design__instance__count__class:timing_repair_buffer,278
design__instance__count__class:clock_buffer,39
design__instance__count__class:clock_inverter,23
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,213
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1351
route__net__special,2
route__drc_errors__iter:1,432
route__wirelength__iter:1,30555
route__drc_errors__iter:2,156
route__wirelength__iter:2,30337
route__drc_errors__iter:3,66
route__wirelength__iter:3,30244
route__drc_errors__iter:4,0
route__wirelength__iter:4,30234
route__drc_errors,0
route__wirelength,30234
route__vias,9196
route__vias__singlecut,9196
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,301.95
timing__unannotated_net__count__corner:nom_tt_025C_1v80,31
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,31
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,31
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,13
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2694762544937666
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26772582131248573
timing__hold__ws__corner:min_tt_025C_1v80,0.30587683252029846
timing__setup__ws__corner:min_tt_025C_1v80,77.31891079568688
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.305877
